City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Decription
141,North Bend,US,43.4065,-124.2243,44.51,92,40,0.0,scattered clouds
142,Christchurch,NZ,-43.5333,172.6333,70.48,61,20,12.66,few clouds
143,Vestmannaeyjar,IS,63.4427,-20.2734,34.45,59,5,8.63,clear sky
144,Troitsko-Pechorsk,RU,62.7084,56.1964,-11.34,100,82,2.06,broken clouds
145,Souillac,MU,-20.5167,57.5167,75.58,78,20,8.05,few clouds
146,Henties Bay,NA,-22.116,14.2845,58.86,98,25,3.0,scattered clouds
147,Auki,SB,-8.7676,160.7034,83.68,73,47,2.28,scattered clouds
148,Alofi,NU,-19.0595,-169.9187,82.29,61,82,17.27,broken clouds
149,Bilma,NE,18.6853,12.9164,66.06,17,12,5.55,few clouds
150,Sabha,LY,27.0377,14.4283,61.88,47,0,7.18,clear sky
151,Poya,NC,-21.35,165.15,83.57,67,34,10.69,scattered clouds
152,Umm Kaddadah,SD,13.6017,26.6876,60.31,23,0,12.68,clear sky
153,Saint-Raphael,HT,19.4333,-72.2,66.51,90,50,3.44,scattered clouds
154,Siteki,SZ,-26.45,31.95,77.0,94,100,9.22,light rain
155,Bredasdorp,ZA,-34.5322,20.0403,68.38,97,100,14.2,light rain
156,Brigantine,US,39.4101,-74.3646,44.8,95,100,8.05,overcast clouds
157,Mustafabad,PK,30.8922,73.4989,55.45,40,0,4.0,clear sky
158,Norman Wells,CA,65.282,-126.8329,-25.56,68,0,2.3,clear sky
159,Vaini,TO,-21.2,-175.2,78.96,94,75,14.97,light intensity drizzle
160,Nakhon Phanom,TH,17.3333,104.4167,69.6,65,100,11.03,overcast clouds
161,San Fernando,PH,15.0286,120.6898,83.93,70,100,1.95,overcast clouds
162,Jumla,NP,29.2747,82.1838,42.06,15,0,5.06,clear sky
163,Juazeiro Do Norte,BR,-7.2131,-39.3153,80.56,65,0,0.0,clear sky
164,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.97,92,5,4.99,clear sky
165,Dudinka,RU,69.4058,86.1778,-8.95,97,100,17.07,light snow
166,Progreso,MX,21.2833,-89.6667,78.12,73,14,14.14,light rain
167,Canton,CN,23.1167,113.25,58.95,51,87,14.38,overcast clouds
168,Talnakh,RU,69.4865,88.3972,-17.28,98,100,11.59,light snow
169,Rundu,NA,-17.9333,19.7667,68.07,83,100,4.21,light rain
170,Marataizes,BR,-21.0433,-40.8244,74.44,92,1,5.17,clear sky
171,Salalah,OM,17.0151,54.0924,68.9,45,0,11.41,clear sky
172,Queanbeyan,AU,-35.35,149.2333,62.19,78,75,19.57,broken clouds
173,Westport,US,41.1415,-73.3579,38.32,87,100,12.66,snow
174,Ipixuna,BR,-1.7625,-48.8043,75.83,89,53,4.21,broken clouds
175,Kalamb,IN,19.05,73.95,71.42,77,96,3.83,overcast clouds
176,Bara,NG,10.3744,10.7288,66.67,26,2,6.85,clear sky
177,Wanning,CN,18.8003,110.3967,67.12,68,49,15.23,scattered clouds
178,Fereydun Kenar,IR,36.6864,52.5225,44.82,93,0,0.0,clear sky
179,Craig,US,40.5153,-107.5464,29.82,81,100,5.23,overcast clouds
180,Pochutla,MX,15.7432,-96.4661,77.83,81,2,3.49,clear sky
181,Tasiilaq,GL,65.6145,-37.6368,16.23,52,0,4.07,clear sky
182,Winona,US,43.9666,-91.7668,30.4,86,100,0.0,overcast clouds
183,Ponta Do Sol,PT,32.6667,-17.1,73.0,92,57,11.03,broken clouds
184,Klaksvik,FO,62.2266,-6.589,32.92,57,100,29.82,light snow
185,Bjornevatn,NO,69.6672,29.9847,13.62,84,100,6.91,overcast clouds
186,Ilulissat,GL,69.2167,-51.1,-1.66,70,18,6.2,few clouds
187,Santa Clara,CU,22.4,-79.9667,64.81,90,4,4.18,clear sky
188,Vardo,NO,70.3705,31.1107,21.18,68,100,12.66,overcast clouds
189,Kangaba,ML,11.9333,-8.4167,69.67,18,95,5.55,overcast clouds
190,La Ronge,CA,55.1001,-105.2842,12.45,92,40,2.3,scattered clouds
191,Mahebourg,MU,-20.4081,57.7,76.24,78,20,8.05,few clouds
192,Gravdal,NO,68.1214,13.5031,28.98,60,2,6.02,clear sky
193,Chornyanka,UA,46.6522,33.359,56.37,81,100,14.88,overcast clouds
194,Totness,SR,5.8833,-56.3167,76.23,90,91,9.31,overcast clouds
195,Katsuura,JP,35.1333,140.3,52.29,52,2,19.77,clear sky
